"id","start_date","end_date","address","active","create_date"
86,"2016-03-23 14:00:00.0","2016-03-23 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 07:20:24.0"
87,"2016-03-24 09:00:00.0","2016-04-14 09:00:00.0",ГБУК Москвы «Библиотека искусств им. А.П. Боголюбова»,1,"2016-03-21 07:56:13.0"
88,"2016-03-25 12:00:00.0","2016-03-25 13:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 08:48:13.0"
89,"2016-03-26 11:00:00.0","2016-03-26 13:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-03-21 08:53:58.0"
90,"2016-03-28 09:00:00.0","2016-04-27 09:00:00.0",Национальная библиотека Чувашской республики  (г. Чебоксары),1,"2016-03-21 09:05:19.0"
91,"2016-03-31 13:00:00.0","2016-03-31 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 10:09:14.0"
92,"2016-04-01 09:00:00.0","2016-04-20 09:00:00.0",Читальный зал №2 РГБИ ,1,"2016-03-31 06:19:44.0"
93,"2016-04-04 09:00:00.0","2016-04-28 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-03-31 06:41:13.0"
94,"2016-04-25 09:00:00.0","2016-05-07 09:00:00.0",Читальный зал №2 РГБИ,1,"2016-03-31 07:34:28.0"
95,"2016-04-01 09:00:00.0","2016-04-30 09:00:00.0","Абонемент РГБИ (ул. Петровские линии, д.1)",1,"2016-06-01 11:11:30.0"
96,"2016-04-07 13:00:00.0","2016-04-07 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-04-01 08:48:45.0"
97,"2016-04-14 14:00:00.0","2016-04-14 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-04-01 08:50:53.0"
98,"2016-04-19 21:00:00.0","2016-04-19 21:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-04-01 09:34:59.0"
99,"2016-04-21 13:00:00.0","2016-04-21 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-04-20 11:32:42.0"
100,"2016-04-22 15:00:00.0","2016-04-21 21:00:00.0","РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-04-05 07:50:24.0"
101,"2016-04-23 11:00:00.0","2016-04-23 13:00:00.0","Зал на Кузнецком РГБИ  (Б. Дмитровка, дом 8/1)",1,"2016-04-05 09:46:14.0"
102,"2016-05-14 11:00:00.0","2016-05-14 14:30:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-05-26 07:37:42.0"
103,"2016-05-17 14:30:00.0","2016-05-17 16:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-06 09:14:59.0"
104,"2016-05-19 15:30:00.0","2016-05-19 16:30:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-26 07:45:35.0"
105,"2016-05-28 12:00:00.0","2016-05-28 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-26 08:50:24.0"
106,"2016-05-28 11:00:00.0","2016-05-28 13:00:00.0","Зал на Кузнецком РГБИ  (Б. Дмитровка, дом 8/1)",1,"2016-05-26 08:48:55.0"
107,"2016-05-10 09:00:00.0","2016-05-31 15:00:00.0",Государственная публичная научно-техническая библиотека России,1,"2016-05-26 07:36:33.0"
108,"2016-05-19 13:30:00.0","2016-05-19 14:30:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-05-26 07:40:26.0"
109,"2016-05-26 15:00:00.0","2016-05-26 16:30:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-26 09:07:31.0"
110,"2016-05-30 13:30:00.0","2016-05-30 14:30:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-05-26 09:05:34.0"
111,"2016-03-28 09:00:00.0","2017-02-01 09:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-26 13:31:05.0"
112,"2016-06-02 13:00:00.0","2016-06-02 14:30:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2016-05-27 07:07:52.0"
113,"2016-06-08 09:00:00.0","2016-06-29 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-05-27 07:19:21.0"
